Dė̃l Diẽvo méilės niẽkam tõ nesakýk.	Dėl Dievo meilės niekam to nesakyk.	For God's sake don't tell it to anyone.	niekam	3	niekas	Ncmpdn-
Léiskite žmonė́ms ramiaĩ gyvénti!	Leiskite žmonėms ramiai gyventi!	Let people live peacefully!	žmonėms	1	žmogus	Ncmpdn-
Àš daviaũ sàvo knygàs tíems žmonė́ms.	Aš daviau savo knygas tiems žmonėms.	I gave my books to those people.	žmonėms	5	žmogus	Ncmpdn-
Jìs retaĩ rãšo sàvo tėváms.	Jis retai rašo savo tėvams.	He seldom writes to his parents.	tėvams	4	tėvai	Ncmpdn-
Tòmas dažnaĩ rãšo tėváms.	Tomas dažnai rašo tėvams.	Tom often writes to his parents.	tėvams	3	tėvai	Ncmpdn-
Vaikáms kar̃tais trū́ksta kantrýbės.	Vaikams kartais trūksta kantrybės.	Children sometimes lack patience.	Vaikams	0	vaikas	Ncmpdn-
Mokiniaĩ nenorė́jo niẽko sakýti sàvo tėváms.	Mokiniai nenorėjo nieko sakyti savo tėvams.	The students didn't want to tell anything to their parents.	tėvams	5	tėvai	Ncmpdn-
Japònija mán dãro labaĩ dìdelį į́spūdį, àš jáučiu dìdelę pãgarbą Japònijos gyvéntojams.	Japonija man daro labai didelį įspūdį, aš jaučiu didelę pagarbą Japonijos gyventojams.	Japan impresses me very much and I feel profound respect for the Japanese people.	gyventojams	12	gyventojas	Ncmpdn-
Àš daviaũ šunìms šíek tíek vandeñs.	Aš daviau šunims šiek tiek vandens.	I gave some water to the dogs.	šunims	2	šuo	Ncmpdn-
Jìs papãsakojo vaikáms apiẽ sàvo núotykius Ãfrikoje.	Jis papasakojo vaikams apie savo nuotykius Afrikoje.	He told the children about his adventures in Africa.	vaikams	2	vaikas	Ncmpdn-
Paplūdimỹs ỹra idealì vietà vaikáms žaistì.	Paplūdimys yra ideali vieta vaikams žaisti.	The beach is an ideal place for children to play.	vaikams	4	vaikas	Ncmpdn-
Pùsryčiams mẽs válgėme sumuštiniùs.	Pusryčiams mes valgėme sumuštinius.	We ate sandwiches for breakfast.	Pusryčiams	0	pusrytis	Ncmpdn-
Ar̃ pasidareĩ kažką̃ sàvo plaukáms?	Ar pasidarei kažką savo plaukams?	Did you do something new with your hair?	plaukams	4	plaukas	Ncmpdn-
Penkióms dienóms šìtiek užtèks.	Penkioms dienoms šitiek užteks.	It's enough for five days.	dienoms	1	diena	Ncfpdn-
Šìto užtèks penkióms dienóms.	Šito užteks penkioms dienoms.	It's enough for five days.	dienoms	3	diena	Ncfpdn-
Àš vykstù į̃ Bòstoną atóstogoms.	Aš vykstu į Bostoną atostogoms.	I'm going to Boston for the holidays.	atostogoms	4	atostogos	Ncfpdn-
Màno šeimà niekadà neturė́jo pakañkamai pinigų̃ atóstogoms.	Mano šeima niekada neturėjo pakankamai pinigų atostogoms.	The family never had enough money for vacations.	atostogoms	6	atostogos	Ncfpdn-
Visíems augaláms reĩkia vandeñs ir̃ šviesõs.	Visiems augalams reikia vandens ir šviesos.	All plants need water and light.	augalams	1	augalas	Ncmpdn-
Architèktas pritáikė šį̃ nãmą senų̃ žmonių̃ póreikiams.	Architektas pritaikė šį namą senų žmonių poreikiams.	The architect adapted the house to the needs of old people.	poreikiams	6	poreikis	Ncmpdn-
Jìs čià atė̃jo priẽš baĩgiantis pamokóms.	Jis čia atėjo prieš baigiantis pamokoms.	He came here before school was over.	pamokoms	5	pamoka	Ncfpdn-
Méilė ỹra beprõčiams.	Meilė yra bepročiams.	Love is for lunatics.	bepročiams	2	beprotis	Ncmpdn-
Tù turė́tum būtì pagarbùs sàvo mókytojams.	Tu turėtum būti pagarbus savo mokytojams.	You should be respectful to your teachers.	mokytojams	5	mokytojas	Ncmpdn-
Juõ gãlima pasikliáuti iškilùs bèt kokíems sunkùmams.	Juo galima pasikliauti iškilus bet kokiems sunkumams.	You can always count on him in any emergency.	kokiems	5	sunkumas	Ncmpdn-
Minìstras atsisãkė duotì interviù repòrteriams.	Ministras atsisakė duoti interviu reporteriams.	The minister refused to give an interview to the reporters.	reporteriams	4	reporteris	Ncmpdn-
Tù turė́tum būtì pagarbì sàvo mókytojams.	Tu turėtum būti pagarbi savo mokytojams.	You should be respectful to your teachers.	mokytojams	5	mokytojas	Ncmpdn-
Parduotùvė prekiáuja brangiaĩs aksesuãrais móterims.	Parduotuvė prekiauja brangiais aksesuarais moterims.	The shop sells expensive accessories for women.	moterims	4	moteris	Ncfpdn-
